sort2,sort1,species,replicate,tag_ID,site,age,date,year,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
2402,3139,BOLE,105,BOLE_105,Waratah2011,1.3,4-May-12,2012,3,2,3,alive,,,,,,,,,,,,,
402,1139,BOLE,105,BOLE_105,Waratah2011,1.3,4-Jun-13,2013,3,2,3,alive,,68,198.1,,1.03,,,1.03,68,198.1,266.1,,
2403,,BOLE,110,BOLE_110,Waratah2011,1.3,15-Jun-12,2012,1,0,1,alive,use,,,,1.66,,,1.66,,,,122,
403,,BOLE,110,BOLE_110,Waratah2011,1.3,13-Jun-13,2013,1,0,1,alive,use,215.9,235.1,,2.59,2.51,2.38,2.49,411.9,886,1297.9,308,
2404,,BOLE,110,BOLE_110,Waratah2011,1.3,15-Jun-12,2012,2,1,2,alive,,,,,,,,,,,,,
404,,BOLE,110,BOLE_110,Waratah2011,1.3,13-Jun-13,2013,2,1,2,alive,,196,650.9,,1.36,,,1.36,196,650.9,846.9,,
2419,,BOLE,111,BOLE_111,Waratah2011,1.3,15-Jun-12,2012,1,0,1,alive,use,,,,0.96,,,,,,,110,
419,,BOLE,111,BOLE_111,Waratah2011,1.3,13-Jun-13,2013,1,0,1,alive,use,122.4,83.1,,1.86,1.81,1.97,1.88,310,669.3,979.3,340,"this is the plant called BOLE_111B during censuses and mapped as 111 on June 15, 2012"
2420,,BOLE,111,BOLE_111,Waratah2011,1.3,15-Jun-12,2012,2,1,2,alive,,,,,,,,,,,,,
420,,BOLE,111,BOLE_111,Waratah2011,1.3,13-Jun-13,2013,2,1,2,alive,,127.7,430.1,,1.33,,,1.33,187.6,586.2,773.8,,"this is the plant called BOLE_111B during censuses and mapped as 111 on June 15, 2012"
2421,,BOLE,111,BOLE_111,Waratah2011,1.3,15-Jun-12,2012,3,2,3,alive,,,,,,,,,,,,,
421,,BOLE,111,BOLE_111,Waratah2011,1.3,13-Jun-13,2013,3,2,3,alive,,59.9,156.1,,0.99,,,0.99,59.9,156.1,216,,"this is the plant called BOLE_111B during censuses and mapped as 111 on June 15, 2012"
2408,,BOLE,112,BOLE_112,Waratah2011,1.3,15-Jun-12,2012,1,0,1,alive,use,,,,0.97,,,0.97,,,,90,
408,,BOLE,112,BOLE_112,Waratah2011,1.3,13-Jun-13,2013,1,0,1,alive,use,159.1,72.8,,1.83,1.95,1.82,1.87,364.7,788.9,1153.6,295,
2409,,BOLE,112,BOLE_112,Waratah2011,1.3,15-Jun-12,2012,2,1,2,alive,,,,,,,,,,,,,
409,,BOLE,112,BOLE_112,Waratah2011,1.3,13-Jun-13,2013,2,1,2,alive,,205.6,716.1,,1.37,,,1.37,205.6,716.1,921.7,,
2422,,BOLE,113,BOLE_113,Waratah2011,1.3,18-May-12,2012,1,0,1,alive,use,,,,1.41,,,1.41,,,,70,
422,,BOLE,113,BOLE_113,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,607.7,561.1,,2.9,3,2.79,2.9,924,1154.5,2078.5,495,"called BOLE_113A during censuses and on map; no map for ""BOLE_113"" censused"
