tag_ID,diameter_start,length_start,diameter_end,new_length,segment,leaves_start_length,leaves_start_count,leaves_finish_length,leaves_end_count,leaves_new,leaves_new_count,new&shed,
COER_159b,,,,,,,,,,,,,
EPMI_151,,,,,,,,,,,,,
EPMI_152,,,,,,,,,,,,,
EPMI_153,,,,,,,,,,,,,
EPMI_154,,,,,,,,,,,,,
EPMI_155,,,,,,,,,,,,,
EPMI_156,,,,,,,,,,,,,
EPMI_157,,,,,,,,,,,,,
GRBU_103,,,,,,,,,,,,,
GRBU_105,,,,,,,,,,,,,
GRBU_107,,,,,,,,,,,,,
GRBU_151,,,,,,,,,,,,,
GRBU_152,,,,,,,,,,,,,
GRBU_153,,,,,,,,,,,,,
GRBU_156,,,,,,,,,,,,,
GRBU_157,,,,,,,,,,,,,
GRSP_151,,,,,,,,,,,,,
GRSP_152,,,,,,,,,,,,,
GRSP_153,,,,,,,,,,,,,
GRSP_154,,,,,,,,,,,,,
GRSP_155,,,,,,,,,,,,,
GRSP_156,,,,,,,,,,,,,
GRSP_157,,,,,,,,,,,,,
HATE_151,,,,,,,,,,,,,
HATE_152,,,,,,,,,,,,,
HATE_153,,,,,,,,,,,,,
HATE_154,,,,,,,,,,,,,
HATE_155,,,,,,,,,,,,,
HATE_156,,,,,,,,,,,,,
HATE_157,,,,,,,,,,,,,
HATE _161,,,,,,,,,,,,,
HEPU_151,,,,,,,,,,,,,
HEPU_152,,,,,,,,,,,,,
HEPU_153,,,,,,,,,,,,,
HEPU_154,,,,,,,,,,,,,
HEPU_155,,,,,,,,,,,,,
HEPU_156,,,,,,,,,,,,,
HEPU_157,,,,,,,,,,,,,
LEES_152,,,,,,,,,,,,,
LEES_153,,,,,,,,,,,,,
LEES_155,,,,,,,,,,,,,
LEES_156,,,,,,,,,,,,,
LEES_157,,,,,,,,,,,,,
PELA_151,,,,,,,,,,,,,
PELA_152,,,,,,,,,,,,,
PELA_153,,,,,,,,,,,,,
PELA_154,,,,,,,,,,,,,
PELA_155,,,,,,,,,,,,,
PELA_156,,,,,,,,,,,,,
PELA_157,,,,,,,,,,,,,
PELA_158,,,,,,,,,,,,,
PELA_161,,,,,,,,,,,,,
PELA_162,,,,,,,,,,,,,
PEPU_151,,,,,,,,,,,,,
PEPU_152,,,,,,,,,,,,,
PEPU_153,,,,,,,,,,,,,
PEPU_154,,,,,,,,,,,,,
PEPU_155,,,,,,,,,,,,,
PEPU_156,,,,,,,,,,,,,
PEPU_157,,,,,,,,,,,,,
PEPU_158,,,,,,,,,,,,,
PHPH_161,,,,,,,,,,,,,
PHPH_162,,,,,,,,,,,,,
PHPH_163,,,,,,,,,,,,,
PHPH_164,,,,,,,,,,,,,
PHPH_165,,,,,,,,,,,,,
PHPH_166,,,,,,,,,,,,,
PHPH_167,,,,,,,,,,,,,
PILI_151,,,,,,,,,,,,,
