species,site,age,age2,branch_age,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,,,
LEES,Waratah2003,9,9,mid,5,4,20,0.0857,6.15505,0.014,,,
PELA,Waratah2003,9,9,young,5,3,15,1.5428,78.26697,0.02,,,
PELA,Waratah2003,9,9,mid,5,3,15,1.449,60.00548,0.024,,,
PELA,Waratah2003,9,9,old,5,3,15,2.3819,92.32142,0.026,,,
PEPU,Waratah2003,9,9,young,4,1,4,0.3035,13.6624,0.022,,,
PEPU,Waratah2003,9,9,mid,4,1,4,0.6628,15.7716,0.042,,,
PEPU,Waratah2003,9,9,old,4,2,8,1.4742,38.10631,0.039,,,
PHPH,Waratah2003,9,9,young,5,8,40,0.0891,4.81952,0.018,,,
PHPH,Waratah2003,9,9,mid,5,8,40,0.1122,6.1011,0.018,,,
PHPH,Waratah2003,9,9,old,5,8,40,0.1488,6.86157,0.022,,,
PILI,Waratah2003,9,9,young,5,8,40,0.0416,5.25978,0.008,,,
PILI,Waratah2003,9,9,mid,3,8,24,0.0274,2.74479,0.01,,,
PUTU,Waratah2003,9,9,young,5,8,38,0.0998,8.80135,0.0113,,,
PUTU,Waratah2003,9,9,mid,5,6,25,0.055,4.04928,0.0136,,,
PUTU,Waratah2003,9,9,old,5,4,22,0.0572,4.25606,0.0134,,,
BAER,Basin1981,32,32,young,5,10,53,0.1376,5.75797,0.0239,,,
BAER,Basin1981,32,32,mid,5,8,38,0.1499,6.33492,0.0237,,,
BAER,Basin1981,32,32,old,5,10,40,0.1854,7.20518,0.0257,,,
EPMI,Basin1981,32,32,young,4,10,40,0.0263,2.5082,0.0105,,,
EPMI,Basin1981,32,32,mid,4,10,43,0.0339,2.10369,0.0161,,,
EPMI,Basin1981,32,32,old,4,10,40,0.0403,2.81861,0.0143,,,
GRBU,Basin1981,32,32,young,4,6,24,0.1746,13.22825,0.013,,,
GRBU,Basin1981,32,32,mid,4,6,23,0.1856,11.90709,0.016,,,
GRBU,Basin1981,32,32,old,4,6,24,0.1807,11.0671,0.016,,,
GRSP,Basin1981,32,32,young,3,5,15,0.2046,13.56013,0.015,,,
GRSP,Basin1981,32,32,mid,4,5,20,0.3041,19.21664,0.016,,,
HATE,Basin1981,32,32,young,4,6,18,0.5341,10.79437,0.0495,,,
HATE,Basin1981,32,32,young,4,6,24,0.7268,13.70668,0.053,,,
HATE,Basin1981,32,32,mid,3,8,24,0.51,8.36779,0.0609,,,
HATE,Basin1981,32,32,mid,4,6,24,0.7817,11.69511,0.0668,,,
HATE,Basin1981,32,32,old,3,5,12,0.3319,5.5094,0.0602,,,
LEES,Basin1981,32,32,young,5,6,30,0.1549,13.91032,0.011,,,
LEES,Basin1981,32,32,mid,5,6,30,0.1788,11.511,0.016,,,
LEES,Basin1981,32,32,old,2,6,12,0.0736,4.92907,0.015,,,
PELA,Basin1981,32,32,young,4,3,12,1.2723,60.9166,0.021,,,
PELA,Basin1981,32,32,mid,4,2,13,0.9778,37.39441,0.026,,,
PEPU,Basin1981,32,32,young,4,1,4,0.6733,19.62307,0.034,,,
PEPU,Basin1981,32,32,mid,4,1,4,0.6473,15.6782,0.041,,,
PEPU,Basin1981,32,32,old,4,1,4,0.6912,15.88737,0.044,,,
PHPH,Basin1981,32,32,young,4,10,40,0.0515,4.2128,0.012,,,
PHPH,Basin1981,32,32,mid,5,10,49,0.087,5.0879,0.017,,,
PHPH,Basin1981,32,32,old,5,10,50,0.1151,6.32645,0.018,,,
PUTU,Basin1981,32,32,young,4,10,32,0.0662,6.29262,0.0105,,,
PUTU,Basin1981,32,32,mid,4,8,32,0.0728,6.38411,0.0114,,,
PUTU,Basin1981,32,32,old,4,6,23,0.0587,4.85632,0.0121,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
