sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_543_bark,217.6,PHPH,Basin1981,32,PHPH_90X,bark,bark,bark,live,use,55,48,0.185,10.4,72,0.217,0.2,30,1787,89,0.074,125,48.8,1.072
MQ_544_shed_bark,131.2,PHPH,Basin1981,32,PHPH_90X,shed_bark,shed_bark,bark,dead,use,138,30,0.324,5,196,0.038,0.166,25,184,46,0.109,151,51.4,1.247
MQ_545_shed_sapwood,186.6,PHPH,Basin1981,32,PHPH_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,10,28,0.091,1.5,10,0.009,0.062,9,82,15,0.037,64,45.4,0.582
MQ_546_wood_from_base,221.3,PHPH,Basin1981,32,PHPH_906,wood_from_base,wood_from_base,wood_from_base,mixed,use,6,20,0.026,2.6,13,0.161,0.061,6,1079,55,0.015,14,45.3,0.43
MQ_547_wood_from_middle,178.1,PHPH,Basin1981,32,PHPH_906,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,71,135,0.036,3.8,19,0.346,0.056,6,2252,106,0.026,18,45.1,0.597
MQ_548_wood_from_tip,119.8,PHPH,Basin1981,32,PHPH_90X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,19,49,0.037,4,27,0.23,0.041,30,639,93,0.036,18,,
MQ_549_bark,151.3,PILI,Wilunga2012,1.4,PILI_30A,bark,bark,bark,live,use,125,40,0.536,9.4,133,0.93,0.132,28,281,209,0.105,36,51.2,0.587
MQ_550_wood_from_base,145.2,PILI,Wilunga2012,1.4,PILI_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,21,46,0.08,3.9,26,0.249,0.049,18,201,80,0.018,10,45.2,0.363
MQ_551_wood_from_tip,153.2,PILI,Wilunga2012,1.4,PILI_30A,wood_from_tip,wood_from_tip,sapwood,live,use,17,53,0.087,4.2,20,0.241,0.046,21,244,68,0.017,12,45.2,0.229
MQ_552_bark,126.5,PILI,Waratah2011,2.4,PILI_15A,bark,bark,bark,live,use,283,120,0.357,9.2,287,0.428,0.132,39,463,149,0.07,30,50.9,0.615
MQ_553_wood_from_base,165.7,PILI,Waratah2011,2.4,PILI_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,20,31,0.076,3.4,23,0.139,0.042,8,84,47,0.017,12,45.2,0.286
MQ_554_wood_from_middle,165.7,PILI,Waratah2011,2.4,PILI_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,19,41,0.124,3.7,25,0.285,0.065,14,161,45,0.024,20,45.2,0.352
MQ_555_wood_from_tip,193.5,PILI,Waratah2011,2.4,PILI_15A,wood_from_tip,wood_from_tip,sapwood,live,use,13,25,0.119,3.3,19,0.225,0.056,14,190,57,0.021,13,45.1,0.248
MQ_556_bark,102.8,PILI,Basin2005,7,PILI_00X,bark,bark,bark,live,insufficient_sample_for_CN,149,143,0.66,50.1,138,0.498,0.171,62,617,157,0.075,60,,
MQ_557_shed_bark,122.6,PILI,Basin2005,7,PILI_00X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,157,25,0.74,14.8,165,0.084,0.167,84,371,92,0.083,44,,
MQ_558_shed_sapwood,148.7,PILI,Basin2005,7,PILI_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,9,19,0.123,2.1,17,0.018,0.045,14,94,26,0.018,9,45.4,0.412
MQ_559_wood_from_base,156.4,PILI,Basin2005,7,PILI_00A,wood_from_base,wood_from_base,wood_from_base,mixed,use,40,30,0.084,3.2,33,0.116,0.048,8,153,42,0.03,9,44.3,0.353
MQ_560_wood_from_middle,227.4,PILI,Basin2005,7,PILI_00A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,32,36,0.079,1.9,41,0.108,0.038,10,138,33,0.022,11,45.2,0.362
MQ_561_wood_from_tip,106.3,PILI,Basin2005,7,PILI_00A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,22,23,0.105,5.6,26,0.162,0.049,19,397,87,0.021,10,,
MQ_562_bark,172.7,PUTU,Wilunga2012,1.4,PUTU_30X,bark,bark,bark,live,use,620,49,1.158,15.5,391,0.784,0.062,43,1052,141,0.065,43,47.2,1.152
MQ_563_wood_from_base,184.8,PUTU,Wilunga2012,1.4,PUTU_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,33,40,0.127,4.3,28,0.137,0.024,284,286,50,0.027,17,45.4,0.387
MQ_564_wood_from_tip,178.1,PUTU,Wilunga2012,1.4,PUTU_30A,wood_from_tip,wood_from_tip,sapwood,live,use,35,57,0.235,12.3,41,0.63,0.075,580,1526,134,0.07,25,44.6,0.671
MQ_565_shed_bark,SKIPPED,PUTU,Wilunga2012,1.4,PUTU_30X,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_566_shed_sapwood,SKIPPED,PUTU,Wilunga2012,1.4,PUTU_30X,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_567_shed_bark,138.9,PUTU,Waratah2011,2.4,PUTU_15X,shed_bark,shed_bark,bark,dead,use,323,38,0.536,10.3,367,0.228,0.109,420,721,107,0.08,45,50.4,1.265
MQ_568_shed_sapwood,264,PUTU,Waratah2011,2.4,PUTU_15X,shed_sapwood,shed_sapwood,sapwood,dead,use,12,43,0.152,5.4,19,0.142,0.022,235,542,58,0.027,16,46.1,0.412
MQ_569_bark,126.4,PUTU,Waratah2011,2.4,PUTU_15A,bark,bark,bark,live,insufficient_sample_for_CN,368,129,0.9,17.7,288,0.543,0.088,51,1280,143,0.073,30,,
MQ_570_wood_from_base,290.9,PUTU,Waratah2011,2.4,PUTU_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,12,19,0.29,5.2,15,0.119,0.035,113,588,41,0.028,11,45.2,0.463
MQ_571_wood_from_middle,177.6,PUTU,Waratah2011,2.4,PUTU_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,13,31,0.139,5.9,15,0.182,0.032,107,683,43,0.054,9,45.7,0.532
MQ_572_wood_from_tip,126.9,PUTU,Waratah2011,2.4,PUTU_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,14,65,0.557,12,37,0.507,0.115,509,3000,192,0.048,38,,
MQ_573_bark,161.1,PUTU,Basin2005,7,PUTU_00X,bark,bark,bark,live,use,96,27,0.796,11.1,145,0.493,0.101,85,679,88,0.063,48,47.6,0.985
MQ_574_shed_bark,115,PUTU,Basin2005,7,PUTU_00X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,355,49,0.964,60.3,506,0.05,0.187,410,331,59,0.105,118,,
MQ_575_shed_sapwood,123.6,PUTU,Basin2005,7,PUTU_00X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,14,24,0.222,4.4,17,0.013,0.077,142,128,19,0.03,37,,
MQ_576_wood_from_base,331.4,PUTU,Basin2005,7,PUTU_007,wood_from_base,wood_from_base,wood_from_base,mixed,use,44,51,0.598,3.2,25,0.218,0.048,142,698,53,0.023,20,45.4,0.374
MQ_577_wood_from_middle,180.4,PUTU,Basin2005,7,PUTU_007,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,46,24,0.538,3.9,29,0.589,0.166,504,1094,149,0.047,40,45.4,0.565
MQ_578_wood_from_tip,144.9,PUTU,Basin2005,7,PUTU_00X,wood_from_tip,wood_from_tip,sapwood,live,use,18,72,0.09,8.1,32,0.519,0.098,142,2407,158,0.044,21,44.4,0.628
MQ_579_bark,228.1,PUTU,Waratah2003,9,PUTU_80X,bark,bark,bark,live,use,141,35,1.195,34.3,155,0.202,0.104,57,266,72,0.063,29,48.4,1.065
MQ_580_shed_bark,150,PUTU,Waratah2003,9,PUTU_80X,shed_bark,shed_bark,bark,dead,use,192,27,0.651,9.9,229,0.114,0.138,86,504,42,0.085,53,50.1,1.432
MQ_581_shed_sapwood,110.1,PUTU,Waratah2003,9,PUTU_80X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,20,22,0.436,3.3,20,0.042,0.054,87,263,25,0.038,24,,
MQ_582_wood_from_base,200.1,PUTU,Waratah2003,9,PUTU_804,wood_from_base,wood_from_base,wood_from_base,mixed,use,9,19,0.641,3.1,14,0.06,0.062,14,822,47,0.02,19,45.2,0.402
MQ_583_wood_from_middle,192.5,PUTU,Waratah2003,9,PUTU_804,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,36,41,0.423,4.9,19,0.148,0.163,29,1839,119,0.032,37,45.6,0.531
MQ_584_wood_from_tip,102.6,PUTU,Waratah2003,9,PUTU_80X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,22,35,0.178,11.7,38,0.613,0.032,453,468,112,0.03,19,,
MQ_585_bark,140.4,PUTU,Basin1981,32,PUTU_903,bark,bark,bark,live,use,261,90,0.526,30.9,433,0.16,0.143,83,513,93,0.087,18,47.4,1.276
MQ_586_shed_bark,255.9,PUTU,Basin1981,32,PUTU_90X,shed_bark,shed_bark,bark,dead,use,170,37,0.384,7.2,244,0.052,0.128,47,283,61,0.098,39,49.3,1.352
MQ_587_shed_sapwood,184.8,PUTU,Basin1981,32,PUTU_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,8,19,0.034,2.5,15,0.027,0.025,5,204,15,0.029,11,45.6,0.514
MQ_588_wood_from_base,491.5,PUTU,Basin1981,32,PUTU_903,wood_from_base,wood_from_base,wood_from_base,mixed,use,8,47,0.109,2.3,23,0.092,0.042,39,464,43,0.017,8,45.4,0.428
MQ_589_wood_from_middle,355.2,PUTU,Basin1981,32,PUTU_903,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,7,30,0.089,3.6,18,0.188,0.053,21,355,53,0.019,5,45.4,0.51
MQ_590_wood_from_tip,138.1,PUTU,Basin1981,32,PUTU_90X,wood_from_tip,wood_from_tip,sapwood,live,use,24,59,0.106,7.4,46,0.374,0.129,119,2073,163,0.045,15,44,0.715
MQ_591_bud,203.3,BAER,,9,BAER,bud,reproductive,reproductive,live,use,2750,322,1.109,32,96,0.329,0.149,28,2487,372,0.089,759,46.4,1.676
MQ_592_cone,1926.9,BAER,,9,BAER,cone,reproductive,reproductive,live,use,549,56,0.24,8.2,40,0.375,0.097,18,4529,235,0.087,121,43,2.443
MQ_593_fruit_seed_immature,740,BAER,,9,BAER,fruit_seed_immature,reproductive,reproductive,live,use,255,15,0.141,2.3,8,0.289,0.13,19,4950,131,0.054,19,45.4,1.237
MQ_594_petals,199.5,BAER,,9,BAER,petals,reproductive,reproductive,live,use,339,18,0.218,3.5,27,0.198,0.136,30,3169,180,0.07,8,47.1,1.572
MQ_595_seed,518.6,BAER,,9,BAER,seed,seed,seed_fruit,live,use,208,14,0.075,1.8,19,0.244,0.071,15,3084,15,0.049,2,49.1,0.765
MQ_596_seed_pod,2361.9,BAER,,9,BAER,seed_pod,reproductive,reproductive,live,use,331,5,0.044,0.9,19,0.267,0.071,6,2948,4,0.115,1,50.6,0.538
MQ_597_fruit_seed_immature,212.2,BOLE,,9,BOLE,fruit_seed_immature,reproductive,reproductive,live,use,30,24,0.498,5.2,52,0.517,0.341,118,1390,412,0.135,11,46.9,1.566
MQ_598_bud,203.7,BOLE,,9,BOLE,bud,reproductive,reproductive,live,use,23,30,0.426,6.7,38,0.387,0.309,65,1041,631,0.114,13,47.5,1.712
MQ_599_petals,202.6,BOLE,,9,BOLE,petals,reproductive,reproductive,live,use,19,18,0.3,4.6,32,0.626,0.279,47,836,456,0.12,4,44.8,2.125
MQ_600_seed,136.8,BOLE,,9,BOLE,seed,seed,seed_fruit,live,use,0,15,0.178,8,11,1.436,0.185,30,145,1387,0.133,11,51,3.169
MQ_601_seed_pod,148.1,BOLE,,9,BOLE,seed_pod,reproductive,reproductive,live,use,1,46,0.236,3.1,6,0.235,0.19,22,786,221,0.058,2,46.2,1.365
MQ_602_finished_flower,MORE ~ 20,COER,,9,COER,finished_flower,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_603_fruit_immature,SKIPPED,COER,,9,COER,fruit_immature,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_604_fruit_mature,191.3,COER,,9,COER,fruit_mature,seed,seed_fruit,live,use,28,20,0.177,32.9,234,0.349,0.37,83,444,6089,0.357,62,51.7,4.799
MQ_605_green_parts,646.1,COER,,9,COER,green_parts,reproductive,reproductive,live,use,50,21,0.25,5.3,46,1.375,0.465,47,3533,298,0.158,7,47.6,1.088
MQ_606_petals,MORE ~ 20,COER,,9,COER,petals,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_607_bud,205.9,EPMI,,9,EPMI,bud,reproductive,reproductive,live,use,7,18,1.33,8.5,16,0.442,0.178,828,147,578,0.177,7,49.2,1.527
MQ_608_finished_flower,MORE - 84,EPMI,,9,EPMI,finished_flower,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_609_fruit_immature,108.1,EPMI,,9,EPMI,fruit_immature,reproductive,reproductive,live,insufficient_sample_for_CN,9,12,1.3,9.6,24,0.411,0.184,475,305,394,0.16,6,,
MQ_610_fruit_mature,152.8,EPMI,,9,EPMI,fruit_mature,seed,seed_fruit,live,use,33,39,1.227,4,39,0.407,0.15,551,594,93,0.134,2,48.8,1.571
MQ_611_petals,MORE - 90,EPMI,,9,EPMI,petals,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_612_bud,410.2,GRBU,,9,GRBU,bud,reproductive,reproductive,live,use,7,19,0.312,5.4,26,0.517,0.311,103,795,946,0.134,6,46.2,1.61
MQ_613_finished_flower,217.8,GRBU,,9,GRBU,finished_flower,reproductive,reproductive,live,use,18,21,0.173,2.8,30,0.404,0.234,37,2018,381,0.094,2,44.8,1.444
MQ_614_fruit_seed_immature,512.6,GRBU,,9,GRBU,fruit_seed_immature,reproductive,reproductive,live,use,12,18,0.543,6.6,29,0.671,0.315,69,1072,1472,0.191,12,48,1.736
MQ_615_green_parts,363.9,GRBU,,9,GRBU,green_parts,reproductive,reproductive,live,use,38,28,0.779,4.1,68,0.899,0.281,144,1735,903,0.151,6,46.2,1.206
MQ_616_petals,194,GRBU,,9,GRBU,petals,reproductive,reproductive,live,use,18,16,0.158,2.1,32,0.146,0.145,32,1222,68,0.057,2,43.8,1.105
MQ_617_seed,488.9,GRBU,,9,GRBU,seed,seed,seed_fruit,live,use,3,24,0.55,19.8,32,0.468,0.521,186,413,3725,0.382,26,54.8,3.309
MQ_618_seed_pod,962.3,GRBU,,9,GRBU,seed_pod,reproductive,reproductive,live,use,25,20,0.43,1.8,43,0.779,0.133,29,908,107,0.111,7,47.8,0.508
MQ_619_bud,218.6,GRSP,,9,GRSP,bud,reproductive,reproductive,live,use,13,16,0.33,5.3,26,0.659,0.282,49,1047,1273,0.186,19,47,2.057
MQ_620_fruit_seed_immature,234,GRSP,,9,GRSP,fruit_seed_immature,reproductive,reproductive,live,use,9,37,0.509,5.3,25,0.713,0.366,66,2028,965,0.176,11,45.7,1.481
MQ_621_green_parts,211.2,GRSP,,9,GRSP,green_parts,reproductive,reproductive,live,use,23,15,0.782,4.8,33,0.629,0.591,73,1620,926,0.156,11,45.3,1.371
MQ_622_petals,198.8,GRSP,,9,GRSP,petals,reproductive,reproductive,live,use,19,19,0.127,2.9,24,0.433,0.143,22,1353,201,0.073,12,43.3,1.101
MQ_623_seed,194.2,GRSP,,9,GRSP,seed,seed,seed_fruit,live,use,10,29,1.027,19.9,40,0.458,0.299,210,613,4191,0.431,43,51.2,4.639
MQ_624_seed_pod,670.6,GRSP,,9,GRSP,seed_pod,reproductive,reproductive,live,use,15,19,0.399,2.3,15,0.688,0.325,23,1330,72,0.116,9,47,0.433
MQ_625_bract,151.6,HATE,,9,HATE,bract,reproductive,reproductive,live,use,95,26,0.323,2.2,21,0.194,0.299,4,449,164,0.1,2,47.1,1.21
MQ_626_bud,402.2,HATE,,9,HATE,bud,reproductive,reproductive,live,use,75,25,0.58,2.8,20,0.179,0.434,7,636,446,0.16,14,48.2,0.997
MQ_627_fruit_seed_immature,188.3,HATE,,9,HATE,fruit_seed_immature,reproductive,reproductive,live,use,27,9,0.369,4.9,19,0.929,0.394,40,3780,953,0.275,13,42.4,4.905
MQ_628_petals,211,HATE,,9,HATE,petals,reproductive,reproductive,live,use,37,45,0.505,5.9,43,0.75,0.529,12,2398,1358,0.223,54,41.7,1.79
MQ_629_seed,127.6,HATE,,9,HATE,seed,seed,seed_fruit,live,insufficient_sample_for_CN,31,17,1.499,65.8,172,0.757,0.799,243,158,21455,0.868,137,,
MQ_630_seed_pod,993.9,HATE,,9,HATE,seed_pod,reproductive,reproductive,live,use,47,41,0.37,2.4,24,0.623,0.593,46,3160,147,0.415,4,43.6,0.369
MQ_631_aborted_fruit_seed,109,HEPU,,9,HEPU,aborted_fruit_seed,reproductive,reproductive,live,insufficient_sample_for_CN,126,62,0.675,24.3,39,0.516,0.411,36,632,1546,0.185,73,,
MQ_632_bud,129,HEPU,,9,HEPU,bud,reproductive,reproductive,live,insufficient_sample_for_CN,56,52,0.436,13.4,37,0.784,0.358,50,1636,758,0.164,24,,
MQ_633_calyx,123.8,HEPU,,9,HEPU,calyx,reproductive,reproductive,live,insufficient_sample_for_CN,47,40,0.335,13.3,49,0.614,0.429,29,2802,303,0.152,26,,
MQ_634_fruit_mature,MORE ~ 20,HEPU,,9,HEPU,fruit_mature,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_635_petals,123.5,HEPU,,9,HEPU,petals,reproductive,reproductive,live,insufficient_sample_for_CN,40,62,0.325,9.1,62,1.03,0.318,37,1722,494,0.145,10,,
MQ_636_bud,205.6,LEES,,9,LEES,bud,reproductive,reproductive,live,use,36,29,2.534,11.9,30,0.28,0.253,173,324,519,0.136,27,48.6,1.046
MQ_637_calyx,148.3,LEES,,9,LEES,calyx,reproductive,reproductive,live,use,51,31,1.987,12.2,70,0.466,0.112,54,870,371,0.138,24,46.3,0.937
MQ_638_fruit_immature,128.8,LEES,,9,LEES,fruit_immature,reproductive,reproductive,live,insufficient_sample_for_CN,12,17,1.558,15.2,19,0.53,0.206,88,351,745,0.145,17,,
MQ_639_fruit_mature,110,LEES,,9,LEES,fruit_mature,seed,seed_fruit,live,insufficient_sample_for_CN,3,10,1.393,10.4,14,0.407,0.133,44,300,249,0.085,4,,
MQ_640_petals,MORE - 84.7,LEES,,9,LEES,petals,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_641_bud,404.4,PELA,,9,PELA,bud,reproductive,reproductive,live,use,46,28,0.304,5.8,49,0.674,0.358,39,1692,949,0.121,47,45.2,1.011
MQ_642_fruit_seed_immature,208.3,PELA,,9,PELA,fruit_seed_immature,reproductive,reproductive,live,use,5,15,0.647,7.4,15,0.701,0.465,87,1756,807,0.136,30,45.2,1.118
MQ_643_petals,171.6,PELA,,9,PELA,petals,reproductive,reproductive,live,use,31,24,0.271,5.3,47,0.848,0.353,41,2226,697,0.144,23,44.1,0.968
MQ_644_seed,293,PELA,,9,PELA,seed,seed,seed_fruit,live,use,5,3,0.189,3.6,9,0.36,0.119,24,780,336,0.069,17,46.5,0.555
MQ_645_seed_pod,337.5,PELA,,9,PELA,seed_pod,reproductive,reproductive,live,use,8,10,0.071,3.1,10,0.952,0.262,14,1665,515,0.098,18,46.5,0.647
MQ_646_cone,1702.1,PEPU,,9,PEPU,cone,reproductive,reproductive,live,use,47,16,0.04,2.8,92,0.415,0.07,12,3194,68,0.073,18,45,0.24
MQ_647_fruit_immature,208.4,PEPU,,9,PEPU,fruit_immature,reproductive,reproductive,live,use,12,11,0.123,2.1,26,0.082,0.084,32,587,84,0.043,3,42.4,0.738
MQ_648_fruit_mature,156.8,PEPU,,9,PEPU,fruit_mature,seed,seed_fruit,live,use,13,26,0.127,14.7,43,0.284,0.193,44,542,4358,0.415,33,44.4,4.789
MQ_649_petals,152,PEPU,,9,PEPU,petals,reproductive,reproductive,live,use,26,22,0.195,4.8,62,0.515,0.166,30,3834,393,0.099,9,45.8,0.69
MQ_650_bract,162.7,PHPH,,9,PHPH,bract,reproductive,reproductive,live,use,2,13,0.207,2.8,27,0.405,0.264,22,2742,316,0.102,8,49.6,1.409
MQ_651_calyx,138.8,PHPH,,9,PHPH,calyx,reproductive,reproductive,live,use,8,29,0.165,5.8,47,0.394,0.138,14,2650,336,0.073,12,49.3,1.578
MQ_652_fruit_seed_immature,153.4,PHPH,,9,PHPH,fruit_seed_immature,reproductive,reproductive,live,use,36,123,0.2,8.8,57,0.706,0.194,24,1969,1234,0.146,17,42.3,2.648
MQ_653_petals,216.1,PHPH,,9,PHPH,petals,reproductive,reproductive,live,use,28,97,0.106,6.6,47,0.769,0.187,14,2454,588,0.105,11,42.6,1.811
MQ_654_seed,139.5,PHPH,,9,PHPH,seed,seed,seed_fruit,live,insufficient_sample_for_CN,3,43,0.238,16.8,67,1.033,0.15,41,1067,3133,0.283,37,,
MQ_655_seed_pod,132.3,PHPH,,9,PHPH,seed_pod,reproductive,reproductive,live,insufficient_sample_for_CN,8,44,0.258,3.8,37,0.305,0.082,38,1310,115,0.066,7,,
MQ_656_fruit_seed_immature,143.8,PILI,,9,PILI,fruit_seed_immature,reproductive,reproductive,live,use,33,42,0.306,13.7,62,0.73,0.287,89,1085,883,0.146,36,43.7,1.671
MQ_657_green_parts,139.5,PILI,,9,PILI,green_parts,reproductive,reproductive,live,use,57,49,0.656,5.4,90,1.093,0.463,119,2739,372,0.147,43,44.2,1.241
MQ_658_petals,115.5,PILI,,9,PILI,petals,reproductive,reproductive,live,insufficient_sample_for_CN,48,74,0.299,10.7,65,1.639,0.331,85,1970,550,0.134,31,,
MQ_659_seed,112.9,PILI,,9,PILI,seed,seed,seed_fruit,live,insufficient_sample_for_CN,6,42,0.215,20,35,0.906,0.256,39,457,1606,0.177,37,,
MQ_660_seed_pod,SKIPPED,PILI,,9,PILI,seed_pod,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_661_bract,111.9,PUTU,,9,PUTU,bract,reproductive,reproductive,live,insufficient_sample_for_CN,123,26,0.264,4.9,131,0.106,0.105,28,584,82,0.043,18,,
MQ_662_calyx,107.4,PUTU,,9,PUTU,calyx,reproductive,reproductive,live,insufficient_sample_for_CN,44,42,0.393,7.8,92,0.679,0.143,20,2756,509,0.082,26,,
MQ_663_fruit_seed_immature,SKIPPED,PUTU,,9,PUTU,fruit_seed_immature,reproductive,reproductive,live,no_sample,,,,,,,,,,,,,,
MQ_664_petals,208.4,PUTU,,9,PUTU,petals,reproductive,reproductive,live,use,10,31,0.192,4.9,69,0.712,0.121,36,2555,304,0.071,13,40,1.152
MQ_665_seed,116.1,PUTU,,9,PUTU,seed,seed,seed_fruit,live,insufficient_sample_for_CN,4,35,0.402,18.8,50,0.873,0.17,60,336,3517,0.257,32,,
MQ_666_seed_pod,144.8,PUTU,,9,PUTU,seed_pod,reproductive,reproductive,live,use,25,45,0.364,6,49,0.027,0.069,22,228,65,0.04,19,45.7,0.663
MQ_667_flower_stigma,109.3,HATE,,9,HATE,flower_stigma,reproductive,reproductive,live,insufficient_sample_for_CN,63,84,0.47,6.7,73,0.854,0.362,21,8052,908,0.208,32,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,,,,,,,,,,,,,,,,,,,,
