sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_085_leaves,273.7,LEES,Basin1981,32,LEES_902,leaves,leaves,leaves,live,use,24,14,0.569,13.6,49,0.283,0.246,61,476,263,0.142,7,36.8,0.893
MQ_086_senescent leaves,116.5,LEES,Waratah2003,9,LEES,senescent_leaves,senescent_leaves,leaves,dead,insufficient_sample_for_CN,35,15,1.232,25.9,37,0.102,0.123,88,576,57,0.147,8,,
MQ_087_senescent leaves,128.8,LEES,Wilunga2012,1.4,LEES,senescent_leaves,senescent_leaves,leaves,dead,insufficient_sample_for_CN,35,12,0.951,16.6,39,0.199,0.161,106,325,23,0.141,22,,
MQ_088_leaves,1341.6,PELA,Wilunga2012,1.4,PELA_30A,leaves,leaves,leaves,live,use,256,19,0.252,2,23,0.312,0.245,50,2310,365,0.102,41,34.8,0.828
MQ_089_leaves,396.7,PELA,Waratah2011,2.4,PELA_158,leaves,leaves,leaves,live,use,151,21,0.416,1.8,9,0.269,0.274,111,1949,197,0.094,35,38.8,0.923
MQ_090_leaves,1013.2,PELA,Basin2005,7,PELA_003,leaves,leaves,leaves,live,use,263,31,0.573,1.7,17,0.211,0.372,107,1910,196,0.093,18,46.1,1.028
MQ_091_leaves,1993.5,PELA,Waratah2003,9,PELA_803,leaves,leaves,leaves,live,use,183,18,0.282,2.4,24,0.37,0.225,43,2463,240,0.099,22,50.2,1.116
MQ_092_leaves,1749.6,PELA,Basin1981,32,PELA_903,leaves,leaves,leaves,live,use,151,22,0.375,2.4,26,0.235,0.224,60,1781,240,0.088,17,46.8,0.883
MQ_093_senescent leaves,667.4,PELA,Waratah2003,9,PELA,senescent_leaves,senescent_leaves,leaves,dead,use,361,13,0.723,1.8,33,0.146,0.274,89,1143,67,0.073,21,47.6,1.048
MQ_094_senescent leaves,250.3,PELA,Basin1981,32,PELA,senescent_leaves,senescent_leaves,leaves,dead,use,322,24,0.43,2.1,28,0.233,0.344,38,1941,40,0.1,38,66.7,1.272
MQ_095_leaves,629,PEPU,Wilunga2012,1.4,PEPU_30A,leaves,leaves,leaves,live,use,204,12,0.333,4.1,58,0.189,0.224,81,1309,231,0.104,58,35,0.471
MQ_096_leaves,290.5,PEPU,Waratah2011,2.4,PEPU_155,leaves,leaves,leaves,live,use,125,111,0.494,2.7,42,0.624,0.242,375,4926,172,0.109,61,60.5,1.528
MQ_097_leaves,554.2,PEPU,Basin2005,7,PEPU_005,leaves,leaves,leaves,live,use,139,20,0.231,3,57,0.212,0.194,51,1595,208,0.083,30,68.1,1.717
MQ_098_leaves,1383.5,PEPU,Waratah2003,9,PEPU_803,leaves,leaves,leaves,live,use,258,11,0.183,2.9,34,0.224,0.169,17,1708,125,0.075,14,1,0.758
MQ_099_leaves,1288.1,PEPU,Basin1981,32,PEPU_901,leaves,leaves,leaves,live,use,116,11,0.139,3.3,53,0.209,0.162,14,1499,163,0.075,16,46.6,1.181
MQ_100_senescent leaves,967.2,PEPU,Waratah2003,9,PEPU,senescent_leaves,senescent_leaves,leaves,dead,use,421,24,0.33,3.7,38,0.073,0.221,12,1448,23,0.065,29,43,0.985
MQ_101_senescent leaves,393.6,PEPU,Basin1981,32,PEPU,senescent_leaves,senescent_leaves,leaves,dead,use,384,16,0.264,4.8,48,0.114,0.22,18,1241,21,0.068,16,67.7,1.326
MQ_102_leaves,420.9,PHPH,Waratah2011,2.4,PHPH_164,leaves,leaves,leaves,live,use,26,18,0.307,5.6,53,0.267,0.368,38,3098,271,0.137,63,50.4,0.736
MQ_103_leaves,297.9,PHPH,Basin2005,7,PHPH_007,leaves,leaves,leaves,live,use,27,23,0.23,7.3,45,0.396,0.25,11,1359,178,0.113,72,55,0.885
MQ_104_leaves,348.8,PHPH,Waratah2003,9,PHPH_806,leaves,leaves,leaves,live,use,42,37,0.463,3.9,69,0.239,0.195,15,2248,208,0.11,50,49.6,1.834
MQ_105_leaves,175,PHPH,Basin1981,32,PHPH_906,leaves,leaves,leaves,live,use,40,40,0.182,3.4,44,0.286,0.251,1,2085,171,0.121,12,37.6,1.386
MQ_106_senescent leaves,183.9,PHPH,Basin2005,7,PHPH,senescent_leaves,senescent_leaves,leaves,dead,use,76,19,0.663,4.3,75,0.106,0.234,24,1554,53,0.129,89,54,1.606
MQ_107_senescent leaves,143.2,PHPH,Basin1981,32,PHPH,senescent_leaves,senescent_leaves,leaves,dead,use,76,30,0.285,3,64,0.108,0.131,29,1698,34,0.131,46,51.4,1.248
MQ_108_leaves,156.3,PILI,Wilunga2012,1.4,PILI_30A,leaves,leaves,leaves,live,use,131,24,1.786,3.7,42,0.533,0.866,451,1318,324,0.249,225,40.3,1.656
MQ_109_leaves,109.3,PILI,Waratah2011,2.4,PILI_155,leaves,leaves,leaves,live,insufficient_sample_for_CN,39,25,1.15,2.9,30,0.927,0.827,220,1072,375,0.224,143,,
MQ_110_leaves,126.3,PILI,Basin2005,7,PILI_001,leaves,leaves,leaves,live,use,226,52,0.668,3.3,81,0.355,1.36,63,1672,474,0.206,94,40.3,1.545
MQ_111_senescent leaves,MORE - 60 mg,PILI,Waratah2011,2.4,PILI,senescent_leaves,senescent_leaves,leaves,dead,no_sample,,,,,,,,,,,,,,
MQ_112_senescent leaves,MORE - 40 mg,PILI,Wilunga2012,1.4,PILI,senescent_leaves,senescent_leaves,leaves,dead,no_sample,,,,,,,,,,,,,,
MQ_113_leaves,303.2,PUTU,Wilunga2012,1.4,PUTU_30A,leaves,leaves,leaves,live,use,60,18,1.279,2.4,33,0.157,0.39,324,578,144,0.1,52,47.1,1.038
MQ_114_leaves,708.2,PUTU,Waratah2011,2.4,PUTU_154,leaves,leaves,leaves,live,use,38,16,0.517,3.5,37,0.264,0.345,95,2164,184,0.105,49,47.5,1.416
MQ_115_leaves,408.6,PUTU,Basin2005,7,PUTU_007,leaves,leaves,leaves,live,use,66,22,0.555,3.2,45,0.195,0.383,152,1910,173,0.119,40,48,1.197
MQ_116_leaves,229.6,PUTU,Waratah2003,9,PUTU_804,leaves,leaves,leaves,live,use,52,11,0.44,3.4,61,0.157,0.509,20,1108,192,0.109,38,47.1,1.38
MQ_117_leaves,137.3,PUTU,Basin1981,32,PUTU_903,leaves,leaves,leaves,live,use,41,19,0.621,3.4,40,0.242,0.46,59,829,138,0.122,30,47.7,0.973
MQ_118_senescent leaves,162.5,PUTU,Waratah2003,9,PUTU,senescent_leaves,senescent_leaves,leaves,dead,use,108,44,0.622,2.2,44,0.114,0.45,58,1689,27,0.1,53,46.9,0.864
MQ_119_senescent leaves,222.8,PUTU,Basin1981,32,PUTU,senescent_leaves,senescent_leaves,leaves,dead,use,62,20,0.407,2,60,0.256,0.404,54,1934,36,0.098,24,,
MQ_120_bark,241.5,BAER,Wilunga2012,1.4,BAER_30A,bark,bark,bark,live,use,467,23,0.324,1.6,33,0.399,0.306,20,1680,154,0.161,29,46.3,0.329
MQ_121_wood_from_base,198.2,BAER,Wilunga2012,1.4,BAER_303,wood_from_base,wood_from_base,wood_from_base,mixed,use,109,13,0.085,2.6,46,0.22,0.158,21,1441,99,0.061,85,45.4,0.074
MQ_122_wood_from_tip,101.1,BAER,Wilunga2012,1.4,BAER_303,wood_from_tip,wood_from_tip,sapwood,live,use,101,15,0.066,4.2,22,0.289,0.093,25,1281,116,0.07,24,45.2,0.261
MQ_123_shed_bark,SKIPPED,BAER,Wilunga2012,1.4,BAER_30A,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_124_shed_sapwood,SKIPPED,BAER,Wilunga2012,1.4,BAER_30A,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_125_bark,219,BAER,Waratah2011,2.4,BAER_15A,bark,bark,bark,live,use,163,15,0.258,2.3,43,0.156,0.142,18,2671,73,0.11,11,46.5,0.368
